bowler_name,bowler_id,overs,maidens,runs,wides,wickets,no_balls,team_name,team_id,opposition_name,opposition_id,innings,match_id,initial_name,balls,0
M Price,,5,0.0,20.0,2.0,2,0.0,Soho Cricket Collective - Friendly XI,207493.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074449,M Price,30.0,
Charlie Sherling,5795720,7.1,1.0,23.0,0.0,2,0.0,Berkhamsted CC - Saturday 4th XI,76555.0,Ley Hill CC - 2nd XI,119465.0,2.0,6804661,C Sherling,43.0,
Viral Bhavsar,5974971,4,0.0,25.0,0.0,2,0.0,Ley Hill CC - 2nd XI,119465.0,Harpenden CC - 6th XI,116317.0,1.0,6804665,V Bhavsar,24.0,
Geoffrey Sussum,4951380,5,0.0,25.0,3.0,2,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Goodwill Wanderers CC - Friendly XI,192284.0,2.0,7074455,G Sussum,30.0,
I Hirst,,5.2,1.0,25.0,1.0,2,0.0,Soho Cricket Collective - Friendly XI,207493.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074449,I Hirst,32.0,
Alastair Gerrard,6240991,8,1.0,25.0,3.0,2,0.0,Berkhamsted CC - Saturday 4th XI,76555.0,Ley Hill CC - 2nd XI,119465.0,2.0,6804661,A Gerrard,48.0,
Joe Foster,6010486,8,0.0,28.0,4.0,2,2.0,Ley Hill CC - Sunday 1st XI,216373.0,Chesham Bois CC - Friendly XI,39794.0,2.0,7074453,J Foster,48.0,
Jason Twist,5158958,10.0,0.0,29.0,2.0,2,2.0,Flitwick CC - 3rd XI,20669.0,Ley Hill CC - 1st XI,54824.0,2.0,6803476,J Twist,60.0,
Ben Connolly,5894400,10,3.0,29.0,4.0,2,0.0,Watton-at-Stone CC - 1st XI,159131.0,Ley Hill CC - 1st XI,54824.0,1.0,6803484,B Connolly,60.0,
Craig Ottaway,5499462,10.0,2.0,32.0,1.0,2,0.0,Ley Hill CC - 1st XI,54824.0,Flitwick CC - 3rd XI,20669.0,1.0,6803476,C Ottaway,60.0,
Ted Sussum,4951412,6,1.0,34.0,2.0,2,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Chesham Bois CC - Friendly XI,39794.0,2.0,7074453,T Sussum,36.0,
Jack Thompson,1790577,7,0.0,34.0,2.0,2,0.0,Ley Hill CC - 1st XI,54824.0,Ickleford CC - 2nd XI,58647.0,2.0,6803474,J Thompson,42.0,
Matthew Pateman,13681,10.0,1.0,34.0,5.0,2,0.0,Flitwick CC - 3rd XI,20669.0,Ley Hill CC - 1st XI,54824.0,2.0,6803476,M Pateman,60.0,
Ted Sussum,4951412,7,1.0,45.0,7.0,2,4.0,Ley Hill CC - 1st XI,54824.0,Ickleford CC - 2nd XI,58647.0,2.0,6803474,T Sussum,42.0,
F Zakhel,,14,1.0,45.0,4.0,2,0.0,Chelsea Nomads CC - 1st XI,196012.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074454,F Zakhel,84.0,
Mohamed Asran Ameen,5104857,7,0.0,49.0,7.0,2,4.0,West Herts CC - 6th XI,302557.0,Ley Hill CC - 2nd XI,119465.0,2.0,6804671,MA Ameen,42.0,
Uma Saraswat,5597955,8,2.0,50.0,6.0,2,0.0,Chesham Bois CC - Friendly XI,39794.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074453,U Saraswat,48.0,
A Ameer,6373509,7,0.0,53.0,0.0,2,1.0,Goodwill Wanderers CC - Friendly XI,192284.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074455,A Ameer,42.0,
Ciaran Woodcock,5029510,10.0,0.0,57.0,3.0,2,0.0,Shenley Village CC - 3rd XI,66192.0,Ley Hill CC - 1st XI,54824.0,1.0,6803489,C Woodcock,60.0,
D Synge,3644650,7,0.0,58.0,0.0,2,1.0,Chelsea Nomads CC - 1st XI,196012.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074454,D Synge,42.0,
